,"0","1","2"
234,417,418,416
235,409,56,413
236,414,51,415
237,414,51,415
238,417,418,416
239,417,418,416
240,47,603,58
241,47,603,58
242,786,63,787
243,786,63,787
244,786,63,787
245,771,426,784
246,29,789,31
247,428,971,790
248,934,747,927
249,611,249,430
250,69,250,431
251,251,975,432
252,252,71,434
253,253,73,72
254,254,434,252
255,616,255,436
256,75,256,76
257,257,76,437
258,77,258,618
259,259,440,79
260,260,441,80
261,261,442,80
262,262,443,81
263,263,444,82
264,264,445,84
265,265,446,266
266,987,266,898
267,667,668,267
268,503,449,268
269,286,642,269
270,270,455,450
271,271,451,454
272,272,273,274
273,273,272,274
274,454,274,272
275,814,275,815
276,644,821,276
277,651,822,277
278,823,818,278
279,282,281,279
280,282,281,279
281,282,281,279
282,282,281,279
283,284,285,283
284,284,285,283
285,284,285,283
286,286,642,269
287,831,101,287
288,644,821,276
289,651,822,277
290,290,653,818
291,291,292,293
292,293,294,292
293,293,294,292
294,293,294,292
295,657,690,656
296,657,690,656
297,300,297,299
298,298,691,692
299,300,297,299
300,300,297,299
301,693,122,301
302,521,513,520
303,514,666,522
304,514,666,522
305,664,523,663
306,664,523,663
307,309,308,678
308,309,308,678
309,309,308,678
310,316,311,135
311,316,311,135
312,316,311,135
313,314,675,313
314,314,675,313
315,496,315,677
316,316,311,135
317,138,131,130
318,137,133,132
319,138,131,130
320,139,140,136
321,139,140,136
322,503,449,268
323,293,294,292
324,324,147,328
325,326,325,146
326,326,325,146
327,326,325,146
328,142,507,147
329,657,690,656
330,655,473,148
331,480,332,150
332,480,332,150
333,664,523,663
334,159,158,152
335,516,337,157
336,516,337,157
337,516,337,157
338,516,337,157
339,514,666,522
340,514,666,522
341,514,666,522
342,664,523,663
343,159,158,152
344,159,158,152
345,159,158,152
346,896,897,153
347,159,158,152
348,159,158,152
349,159,158,152
350,159,158,152
351,159,158,152
352,159,158,152
353,159,158,152
354,159,158,152
355,538,540,539
356,356,718,357
357,356,718,357
358,899,721,898
359,899,721,898
360,550,549,547
361,550,549,547
362,550,549,547
363,555,554,2
364,556,545,1
365,543,189,0
366,543,189,0
367,543,189,0
368,550,549,547
369,555,554,2
370,555,554,2
371,555,554,2
372,556,545,1
373,556,545,1
374,556,545,1
375,543,189,0
376,560,557,18
377,14,17,19
378,28,30,27
379,560,557,18
380,561,381,563
381,561,381,563
382,560,557,18
383,28,30,27
384,404,401,384
385,392,389,400
386,23,398,24
387,23,398,24
388,21,25,22
389,392,389,400
390,23,398,24
391,391,396,395
392,392,389,400
393,21,25,22
394,23,398,24
395,396,397,395
396,396,397,395
397,396,397,395
398,23,398,24
399,23,398,24
400,392,389,400
401,404,401,384
402,29,789,31
403,29,789,31
404,404,401,384
405,392,389,400
406,404,401,384
407,407,772,783
408,408,774,780
409,409,56,413
410,410,412,411
411,410,412,411
412,410,412,411
413,409,56,413
414,414,51,415
415,414,51,415
416,417,418,416
417,417,418,416
418,417,418,416
419,417,418,416
420,417,418,416
421,417,418,416
422,417,418,416
423,423,419,418
424,786,63,787
425,786,63,787
426,771,426,784
427,29,789,31
428,428,971,790
429,429,610,791
430,611,249,430
431,69,250,431
432,432,794,975
433,433,614,615
434,434,254,252
435,435,615,74
436,436,616,255
437,437,257,76
438,438,257,437
439,439,258,77
440,440,259,621
441,441,622,260
442,442,261,623
443,443,262,82
444,444,263,625
445,445,264,83
446,446,84,265
447,85,447,902
448,517,518,519
449,503,449,268
450,450,96,283
451,451,271,94
452,452,453,94
453,453,94,272
454,454,274,272
455,455,270,634
456,456,817,996
457,651,822,277
458,644,821,276
459,644,821,276
460,644,821,276
461,644,821,276
462,651,822,277
463,651,822,277
464,651,822,277
465,651,822,277
466,651,822,277
467,823,818,278
468,282,281,279
469,824,469,649
470,824,469,649
471,471,648,825
472,109,834,652
473,655,473,148
474,655,473,148
475,657,690,656
476,657,690,656
477,509,508,658
478,298,691,692
479,298,691,692
480,480,332,150
481,480,332,150
482,514,666,522
483,664,523,663
484,664,523,663
485,664,523,663
486,517,518,519
487,517,518,519
488,139,140,136
489,139,140,136
490,683,681,128
491,683,681,128
492,683,681,128
493,683,681,128
494,314,675,313
495,314,675,313
496,496,315,677
497,316,311,135
498,139,140,136
499,138,131,130
500,138,131,130
501,139,140,136
502,139,140,136
503,503,449,268
504,655,473,148
505,688,505,687
506,293,294,292
507,142,507,147
508,509,508,658
509,509,508,658
510,300,297,299
511,300,297,299
512,521,513,520
513,521,513,520
514,514,666,522
515,664,523,663
516,516,337,157
517,517,518,519
518,517,518,519
519,517,518,519
520,521,513,520
521,521,513,520
522,514,666,522
523,664,523,663
524,159,158,152
525,883,882,525
526,527,707,526
527,527,707,526
528,159,158,152
529,159,158,152
530,159,158,152
531,159,158,152
532,159,158,152
533,159,158,152
534,159,158,152
535,159,158,152
536,536,519,518
537,537,536,538
538,538,540,539
539,538,540,539
540,538,540,539
541,542,190,541
542,542,190,541
543,543,189,0
544,543,189,0
545,556,545,1
546,555,554,2
547,550,549,547
548,550,549,547
549,550,549,547
550,550,549,547
551,550,549,547
552,550,549,547
553,555,554,2
554,555,554,2
555,555,554,2
556,556,545,1
557,560,557,18
558,14,17,19
559,14,17,19
560,560,557,18
561,561,381,563
562,562,912,905
563,561,381,563
564,199,564,906
565,14,17,19
566,28,30,27
567,20,768,26
568,29,789,31
569,28,30,27
570,28,30,27
571,29,789,31
572,404,401,384
573,21,25,22
574,21,25,22
575,21,25,22
576,23,398,24
577,23,398,24
578,23,398,24
579,21,25,22
580,21,25,22
581,20,768,26
582,29,789,31
583,28,30,27
584,28,30,27
585,29,789,31
586,20,768,26
587,20,768,26
588,20,768,26
589,589,963,782
590,417,418,416
591,414,51,415
592,409,56,413
593,410,412,411
594,410,412,411
595,410,412,411
596,409,56,413
597,414,51,415
598,414,51,415
599,417,418,416
600,417,418,416
601,417,418,416
602,417,418,416
603,47,603,58
604,47,603,58
605,786,63,787
606,786,63,787
607,771,426,784
608,29,789,31
609,428,971,790
610,429,610,791
611,611,249,430
612,612,793,974
613,613,794,432
614,614,976,795
615,615,74,435
616,616,255,436
617,617,797,978
618,618,258,77
619,619,439,981
620,620,800,981
621,621,440,982
622,622,441,621
623,623,803,802
624,624,804,983
625,625,805,985
626,985,626,806
627,627,807,175
628,628,174,809
629,514,666,522
630,300,297,299
631,640,97,641
632,632,270,95
633,633,634,95
634,634,633,455
635,635,91,284
636,636,275,90
637,637,815,814
638,107,102,643
639,286,642,269
640,640,97,641
641,640,97,641
642,286,642,269
643,107,102,643
644,644,821,276
645,646,645,648
646,646,645,648
647,647,825,648
648,647,825,648
649,824,469,649
650,282,281,279
651,651,822,277
652,109,834,652
653,290,653,818
654,654,868,149
655,655,473,148
656,657,690,656
657,657,690,656
658,509,508,658
659,660,119,659
660,660,119,659
661,661,662,151
662,661,662,151
663,664,523,663
664,664,523,663
665,514,666,522
666,514,666,522
667,667,668,267
668,667,668,267
669,137,133,132
670,137,133,132
671,138,131,130
672,139,140,136
673,139,140,136
674,683,681,128
675,314,675,313
676,314,675,313
677,677,134,526
678,309,308,678
679,314,675,313
680,683,681,128
681,683,681,128
682,314,675,313
683,683,681,128
684,684,141,652
685,867,685,662
686,686,687,688
687,688,505,687
688,688,505,687
689,657,690,656
690,657,690,656
691,298,691,692
692,298,691,692
693,693,122,301
694,521,513,520
695,514,666,522
696,514,666,522
697,517,518,519
698,517,518,519
699,667,668,267
700,667,668,267
701,514,666,522
702,664,523,663
703,664,523,663
704,159,158,152
705,896,897,153
706,883,882,525
707,527,707,526
708,527,707,526
709,896,897,153
710,896,897,153
711,896,897,153
712,896,897,153
713,896,897,153
714,896,897,153
715,896,897,153
716,896,897,153
717,538,540,539
718,356,718,357
719,899,721,898
720,899,721,898
721,899,721,898
722,918,908,906
723,918,908,906
724,725,724,907
725,725,724,907
726,918,908,906
727,916,910,915
728,731,728,730
729,729,904,6
730,731,728,730
731,731,728,730
732,913,905,912
733,913,905,912
734,913,905,912
735,916,910,915
736,916,910,915
737,916,910,915
738,923,926,920
739,750,741,932
740,921,931,922
741,750,741,932
742,919,925,924
743,743,744,562
744,744,924,925
745,919,925,924
746,750,741,932
747,934,747,927
748,748,930,428
749,934,747,927
750,750,741,932
751,923,926,920
752,750,741,932
753,921,931,922
754,392,389,400
755,404,401,384
756,404,401,384
757,404,401,384
758,404,401,384
759,404,401,384
760,404,401,384
761,404,401,384
762,14,17,19
763,28,30,27
764,28,30,27
765,14,17,19
766,14,17,19
767,28,30,27
768,20,768,26
769,404,401,384
770,952,965,770
771,771,426,784
772,407,772,783
773,954,227,773
774,408,774,780
775,777,778,776
776,777,778,776
777,777,778,776
778,777,778,776
779,777,778,776
780,408,774,780
781,955,962,781
782,589,963,782
783,407,772,783
784,771,426,784
785,788,60,785
786,786,63,787
787,786,63,787
788,788,60,785
789,29,789,31
790,428,971,790
791,429,610,791
792,973,792,922
793,612,793,974
794,794,613,432
795,795,976,614
796,977,796,436
797,797,436,617
798,798,76,978
799,799,980,77
800,981,800,619
801,801,620,621
802,802,803,623
803,803,802,623
804,983,804,624
805,805,625,984
806,806,985,626
807,808,807,447
808,808,807,447
809,809,902,901
810,120,810,268
811,118,811,145
812,286,642,269
813,813,287,269
814,814,275,815
815,637,815,814
816,997,996,816
817,456,817,996
818,823,818,278
819,651,822,277
820,644,821,276
821,644,821,276
822,651,822,277
823,823,818,278
824,824,469,649
825,647,825,648
826,282,281,279
827,282,281,279
828,282,281,279
829,823,818,278
830,644,821,276
831,831,101,287
832,640,97,641
833,833,284,641
834,109,834,652
835,655,473,148
836,655,473,148
837,657,690,656
838,300,297,299
839,298,691,692
840,298,691,692
841,298,691,692
842,514,666,522
843,514,666,522
844,514,666,522
845,514,666,522
846,846,849,847
847,846,849,847
848,846,849,847
849,846,849,847
850,850,128,681
851,851,852,267
852,851,852,267
853,864,853,861
854,854,155,156
855,856,859,855
856,856,859,855
857,857,855,856
858,858,857,134
859,856,859,855
860,860,862,863
861,864,853,861
862,860,862,863
863,860,862,863
864,864,853,861
865,683,681,128
866,661,662,151
867,867,685,662
868,654,868,149
869,654,868,149
870,870,871,148
871,870,871,148
872,300,297,299
873,298,691,692
874,693,122,301
875,521,513,520
876,514,666,522
877,514,666,522
878,517,518,519
879,517,518,519
880,667,668,267
881,667,668,267
882,883,882,525
883,883,882,525
884,883,882,525
885,896,897,153
886,896,897,153
887,896,897,153
888,896,897,153
889,896,897,153
890,896,897,153
891,896,897,153
892,896,897,153
893,896,897,153
894,896,897,153
895,896,897,153
896,896,897,153
897,896,897,153
898,899,721,898
899,899,721,898
900,900,901,902
901,900,901,902
902,900,901,902
903,903,5,904
904,729,904,6
905,913,905,912
906,918,908,906
907,725,724,907
908,918,908,906
909,916,910,915
910,916,910,915
911,913,905,912
912,913,905,912
913,913,905,912
914,913,905,912
915,916,910,915
916,916,910,915
917,916,910,915
918,918,908,906
919,919,925,924
920,923,926,920
921,921,931,922
922,921,931,922
923,923,926,920
924,919,925,924
925,919,925,924
926,923,926,920
927,934,747,927
928,929,928,790
929,929,928,790
930,748,930,428
931,921,931,922
932,750,741,932
933,921,931,922
934,934,747,927
935,404,401,384
936,20,768,26
937,29,789,31
938,28,30,27
939,28,30,27
940,28,30,27
941,29,789,31
942,29,789,31
943,14,17,19
944,28,30,27
945,29,789,31
946,29,789,31
947,28,30,27
948,29,789,31
949,404,401,384
950,21,25,22
951,951,9,8
952,952,965,770
953,407,772,783
954,954,227,773
955,955,962,781
956,408,774,780
957,777,778,776
958,777,778,776
959,960,959,391
960,960,959,391
961,408,774,780
962,955,962,781
963,589,963,782
964,407,772,783
965,952,965,770
966,966,785,951
967,786,63,787
968,786,63,787
969,788,60,785
970,29,789,31
971,428,971,790
972,429,610,791
973,973,792,922
974,974,793,612
975,975,251,432
976,976,795,614
977,977,796,436
978,978,798,617
979,979,618,256
980,980,799,439
981,981,800,619
982,982,621,801
983,983,804,624
984,984,805,624
985,985,626,806
986,986,807,808
987,987,266,898
988,988,989,266
989,989,540,538
990,990,525,706
991,991,833,283
992,992,833,144
993,993,287,831
994,644,821,276
995,995,276,820
996,997,996,816
997,997,996,816
998,998,110,276
999,651,822,277
